"accX","accY","accZ","gyroX","gyroY","gyroZ","id","lat","lng","time"
"-2.40625","-0.359375","-15.984375","-0.009765625","0.00634765625","0.00732421875","1","39.9732099","18.323111","1676169635079"
"-2.328125","-0.28125","-16.15625","-0.0107421875","0.00927734375","0.00830078125","2","39.9732099","18.323111","1676169635289"
"-2.28125","-0.296875","-16.3125","-0.0107421875","0.00732421875","0.00830078125","3","39.9732099","18.323111","1676169635489"
"-2.34375","-0.234375","-16.171875","-0.0107421875","0.00927734375","0.00732421875","4","39.9732099","18.323111","1676169635688"
"-2.40625","-0.296875","-15.984375","-0.0107421875","0.00732421875","0.00732421875","5","39.9732099","18.323111","1676169635888"
"-2.265625","-0.1875","-16.171875","-0.0107421875","0.00927734375","0.00732421875","6","39.9732099","18.323111","1676169636079"
"-2.28125","-0.28125","-16.078125","-0.009765625","0.00732421875","0.00830078125","7","39.9732099","18.323111","1676169636285"
"-2.296875","-0.296875","-16.1875","-0.0009765625","-0.0009765625","-0.001953125","8","39.9732099","18.323111","1676169636489"
"-2.421875","-0.21875","-16.125","-0.001953125","-0.0009765625","-0.0009765625","9","39.9732099","18.323111","1676169636687"
"-2.4375","-0.3125","-15.984375","-0.001953125","-0.001953125","0.00048828125","10","39.9732099","18.323111","1676169636884"
"-2.25","-0.1875","-16.171875","-0.0009765625","-0.0009765625","-0.0009765625","11","39.9732099","18.323111","1676169639864"
"-2.453125","-0.21875","-16.015625","0.00048828125","0","-0.001953125","12","39.9732099","18.323111","1676169640058"
"-2.375","-0.3125","-16.03125","-0.0029296875","-0.001953125","0","13","39.9732099","18.323111","1676169640259"
"-2.21875","-0.296875","-16.09375","0","0","-0.0009765625","14","39.9732099","18.323111","1676169640459"
"-2.421875","-0.140625","-16.328125","-0.017578125","-0.0078125","-0.0009765625","15","39.9732099","18.323111","1676169640663"
"-2.34375","-0.140625","-16","-0.0029296875","-0.001953125","-0.0009765625","16","39.9732099","18.323111","1676169640863"
"-2.40625","-0.203125","-15.984375","0","0","0","17","39.9732099","18.323111","1676169641056"
"-2.46875","-0.3125","-15.96875","-0.0009765625","-0.0009765625","-0.001953125","18","39.9732099","18.323111","1676169641258"
"-2.375","-0.296875","-16.0625","-0.0009765625","-0.0029296875","-0.0009765625","19","39.9732099","18.323111","1676169641461"
"-2.375","-0.40625","-16.015625","-0.001953125","-0.0029296875","0","20","39.9732099","18.323111","1676169641660"
"-2.0625","-0.203125","-16","0","0.00048828125","-0.0009765625","21","39.9732099","18.323111","1676169646667"
"-2.046875","-0.140625","-16.1875","-0.0009765625","-0.0009765625","-0.001953125","22","39.9732099","18.323111","1676169646870"
